scenario,label,start_equity,end_equity,total_return_pct,total_pnl,total_trades,win_rate,profit_factor,sharpe,max_dd_pct,sizing_failures,risk_breaches
A,"SCENARIO A -- GBP 50k, tiered risk, no caps",50000,15446003.42,30792.01,15396003.42,587,87.7,60.838,6.57,-0.67,1,0
B,"SCENARIO B -- GBP 50k, tiered risk, unit caps",50000,3595404.23,7090.81,3545404.23,587,87.7,60.879,6.425,-0.67,1,0
C,"SCENARIO C -- GBP 100k, tiered risk, no caps",100000,24644931.89,24544.93,24544931.89,587,87.7,60.91,6.564,-0.67,1,0
D,"SCENARIO D -- GBP 100k, tiered risk, unit caps",100000,5414602.64,5314.6,5314602.64,587,87.7,62.423,6.387,-0.67,1,0
